iter	Passed	Remaining
623	2911	1754
624	2913	1747
625	2915	1741
626	2916	1735
627	2918	1728
628	2951	1741
629	2956	1736
630	2959	1730
631	2979	1734
632	2981	1728
633	2983	1722
634	2989	1718
635	2991	1711
636	2993	1705
637	2995	1699
638	2997	1693
639	3000	1687
640	3009	1685
641	3011	1679
642	3013	1673
643	3038	1679
644	3040	1673
645	3042	1667
646	3044	1661
647	3046	1654
648	3048	1648
649	3052	1643
650	3054	1637
651	3056	1631
652	3058	1625
653	3060	1618
654	3062	1612
655	3063	1606
656	3067	1601
657	3069	1595
658	3108	1608
659	3111	1602
660	3112	1596
661	3116	1591
662	3118	1585
663	3120	1579
664	3122	1572
665	3126	1567
666	3128	1561
667	3132	1556
668	3134	1550
669	3136	1544
670	3138	1538
671	3139	1532
672	3141	1526
673	3175	1535
674	3177	1529
675	3182	1525
676	3185	1519
677	3187	1513
678	3192	1509
679	3197	1504
680	3199	1498
681	3201	1492
682	3204	1487
683	3206	1481
684	3207	1475
685	3213	1470
686	3214	1464
687	3241	1469
688	3246	1465
689	3250	1460
690	3252	1454
691	3254	1448
692	3255	1442
693	3257	1436
694	3262	1431
695	3264	1425
696	3266	1419
697	3268	1413
698	3269	1408
699	3271	1402
700	3273	1396
701	3277	1391
702	3279	1385
703	3286	1381
704	3288	1375
705	3292	1371
706	3294	1365
707	3296	1359
708	3298	1353
709	3316	1354
710	3318	1348
711	3320	1342
712	3321	1337
713	3325	1331
714	3326	1326
715	3328	1320
716	3330	1314
717	3332	1308
718	3357	1312
719	3359	1306
720	3361	1300
721	3362	1294
722	3364	1289
723	3366	1283
724	3368	1277
725	3372	1272
726	3374	1267
727	3377	1261
728	3379	1256
729	3381	1250
730	3383	1245
731	3408	1248
732	3410	1242
733	3421	1240
734	3424	1234
735	3425	1228
736	3427	1223
737	3429	1217
738	3431	1211
739	3433	1206
740	3437	1201
741	3439	1195
742	3441	1190
743	3443	1184
744	3445	1179
745	3446	1173
746	3448	1168
747	3453	1163
748	3455	1157
749	3477	1159
750	3479	1153
751	3481	1148
752	3485	1143
753	3487	1137
754	3502	1136
755	3504	1131
756	3506	1125
757	3508	1119
758	3509	1114
759	3511	1108
760	3513	1103
761	3517	1098
762	3519	1093
763	3522	1087
764	3527	1083
765	3529	1078
766	3533	1073
767	3535	1068
768	3537	1062
769	3562	1064
770	3566	1059
771	3568	1054
772	3570	1048
773	3572	1043
774	3574	1037
775	3576	1032
776	3580	1027
777	3582	1022
778	3584	1016
779	3585	1011
780	3587	1006
781	3589	1000
782	3591	995
783	3596	990
784	3599	985
785	3610	982
786	3612	977
787	3614	972
788	3615	966
789	3617	961
790	3619	956
791	3621	951
792	3623	945
793	3625	940
794	3627	935
795	3629	930
796	3630	924
797	3632	919
798	3634	914
799	3636	909
800	3676	913
801	3678	908
802	3680	902
803	3682	897
804	3684	892
805	3688	887
806	3690	882
807	3710	881
808	3712	876
809	3713	871
810	3715	865
811	3717	860
812	3721	856
813	3723	850
814	3725	845
815	3727	840
816	3729	835
817	3730	830
818	3732	824
819	3738	820
820	3740	815
821	3742	810
822	3757	808
823	3758	802
824	3760	797
825	3762	792
826	3764	787
827	3768	782
828	3770	777
829	3771	772
830	3773	767
831	3775	762
832	3777	757
833	3779	752
834	3780	747
835	3783	742
836	3785	737
837	3805	735
838	3807	730
839	3809	725
840	3813	720
841	3815	715
842	3817	711
843	3819	705
844	3820	700
845	3822	695
846	3823	690
847	3826	685
848	3851	685
849	3853	680
850	3856	675
851	3867	671
852	3869	666
853	3873	662
854	3878	657
855	3882	653
856	3885	648
857	3894	644
858	3898	639
859	3900	635
860	3903	630
861	3906	625
862	3915	621
863	3922	617
864	3927	612
865	3929	607
866	3931	603
867	3933	598
868	3934	593
869	3936	588
870	3941	583
871	3943	578
872	3945	573
873	3947	569
874	3949	564
875	3950	559
876	3952	554
877	3956	549
878	3975	547
879	3977	542
880	3979	537
881	3985	533
882	3987	528
883	3989	523
884	3991	518
885	3993	513
886	3995	509
887	4006	505
888	4008	500
889	4010	495
890	4012	490
891	4016	486
892	4018	481
893	4033	478
894	4034	473
895	4036	468
896	4038	463
897	4040	458
898	4042	454
899	4048	449
900	4049	444
901	4051	440
902	4053	435
903	4055	430
904	4057	425
905	4059	421
906	4061	416
907	4063	411
908	4082	408
909	4083	403
910	4085	399
911	4087	394
912	4089	389
913	4093	385
914	4094	380
915	4096	375
916	4098	370
917	4100	366
918	4102	361
919	4104	356
920	4108	352
921	4110	347
922	4112	343
923	4114	338
924	4130	334
925	4132	330
926	4168	328
927	4170	323
928	4174	319
929	4175	314
930	4177	309
931	4179	304
932	4181	300
933	4183	295
934	4184	290
935	4187	286
936	4190	281
937	4192	277
938	4194	272
939	4195	267
940	4197	263
941	4257	262
942	4259	257
943	4260	252
944	4262	248
945	4264	243
946	4266	238
947	4269	234
948	4271	229
949	4273	224
950	4276	220
951	4278	215
952	4280	211
953	4282	206
954	4285	201
955	4288	197
956	4336	194
957	4338	190
958	4340	185
959	4342	180
960	4344	176
961	4346	171
962	4350	167
963	4352	162
964	4354	157
965	4356	153
966	4358	148
967	4359	144
968	4361	139
969	4363	134
970	4367	130
971	4437	127
972	4439	123
973	4441	118
974	4442	113
975	4444	109
976	4449	104
977	4451	100
978	4453	95
979	4454	90
980	4456	86
981	4458	81
982	4460	77
983	4464	72
984	4466	68
985	4468	63
986	4505	59
987	4507	54
988	4509	50
989	4514	45
990	4516	41
991	4518	36
992	4520	31
993	4522	27
994	4524	22
995	4539	18
996	4541	13
997	4563	9
998	4565	4
999	4568	0
