iter	RMSE
228	4.548758528
229	4.546856446
230	4.543442568
231	4.538947689
232	4.537460883
233	4.53251479
234	4.529749536
235	4.527208746
236	4.523611933
237	4.52196289
238	4.519385942
239	4.516712642
240	4.511516467
241	4.510542536
242	4.505438977
243	4.502710689
244	4.497791901
245	4.492779281
246	4.489586307
247	4.48806491
248	4.48276258
249	4.478094079
250	4.474272962
251	4.470795263
252	4.467563863
253	4.466114624
254	4.462930652
255	4.458643032
256	4.455423229
257	4.452746603
258	4.447790573
259	4.446602738
260	4.442548469
261	4.438411567
262	4.434794125
263	4.433567983
264	4.430229146
265	4.424008536
266	4.4226374
267	4.420341905
268	4.41784341
269	4.414852673
270	4.411695415
271	4.40890054
272	4.402923079
273	4.397132713
274	4.391616007
275	4.389286775
276	4.382827087
277	4.381154531
278	4.377743999
279	4.372385293
280	4.367950984
281	4.363415887
282	4.360639513
283	4.359326228
284	4.357434985
285	4.353942009
286	4.351345706
287	4.349175525
288	4.346307725
289	4.342626362
290	4.338015436
291	4.337330409
292	4.333279153
293	4.33228417
294	4.328650343
295	4.325758775
296	4.320442178
297	4.316890571
298	4.311655875
299	4.308343711
300	4.304083659
301	4.298788998
302	4.297664259
303	4.293898884
304	4.292737087
305	4.287908377
306	4.284600021
307	4.279361339
308	4.273991465
309	4.26576397
310	4.257813533
311	4.256117072
312	4.251260166
313	4.248422851
314	4.24455779
315	4.242614366
316	4.23617362
317	4.231084941
318	4.229624413
319	4.226825684
320	4.222270949
321	4.218932806
322	4.215737797
323	4.210259047
324	4.206408418
325	4.202865901
326	4.198696628
327	4.195591214
328	4.190736863
329	4.188245112
330	4.183985634
331	4.182421669
332	4.180690526
333	4.17713784
334	4.176189591
335	4.175452573
336	4.174615941
337	4.170322971
338	4.165125771
339	4.159507775
340	4.156305768
341	4.151551366
342	4.150944356
343	4.150056141
344	4.146596773
345	4.142395671
346	4.138044298
347	4.137076024
348	4.13609365
349	4.134961854
350	4.132722251
351	4.131581993
352	4.128718603
353	4.126718816
354	4.121202657
355	4.118911036
356	4.11485697
357	4.111447434
358	4.108152542
359	4.106551838
360	4.101610604
361	4.09881165
362	4.094946758
363	4.09441367
364	4.093759703
365	4.092003164
366	4.087449586
367	4.083345317
368	4.081548863
369	4.080090126
370	4.077448041
371	4.075958778
372	4.074122807
373	4.072460094
374	4.068437472
375	4.066247826
376	4.061817844
377	4.0590577
378	4.056302161
379	4.053167889
380	4.050372007
381	4.046728673
382	4.043956101
383	4.041326085
384	4.039692061
385	4.039174248
386	4.036452709
387	4.032595706
388	4.027742366
389	4.023483922
390	4.018808751
391	4.016068897
392	4.009573622
393	4.004944848
394	4.001764755
395	3.999251117
396	3.99817728
397	3.995828143
398	3.993623048
399	3.990925408
400	3.986766055
401	3.98457751
402	3.982559876
403	3.979813529
404	3.979155621
405	3.975010805
406	3.972942995
407	3.96900223
408	3.96477056
409	3.962026658
410	3.959154943
411	3.956231306
412	3.954843354
413	3.952883263
414	3.95049688
415	3.950004033
416	3.947550412
417	3.945428352
418	3.943480975
419	3.942177337
420	3.938907749
421	3.937923996
422	3.934722709
423	3.932599758
424	3.931587822
425	3.929541924
426	3.925524748
427	3.922907548
428	3.919648565
429	3.916516865
430	3.913152271
431	3.911715079
432	3.910230784
433	3.910003276
434	3.907027615
435	3.906627832
436	3.903612603
437	3.899643163
438	3.899164093
439	3.895277755
440	3.891790421
441	3.890384099
442	3.886779217
443	3.883891223
444	3.88107923
445	3.880036665
446	3.876923919
447	3.874950392
448	3.870897214
449	3.867075622
450	3.863026988
451	3.860502605
452	3.857837258
453	3.85413935
454	3.851972423
455	3.85074261
456	3.848655047
457	3.847498639
458	3.843416827
459	3.839768731
460	3.838698156
461	3.836507015
462	3.833333563
463	3.830893011
464	3.829005741
465	3.827932206
466	3.825021627
467	3.820575976
468	3.81831218
469	3.817603991
470	3.816179437
471	3.815389279
472	3.810732902
473	3.807306694
474	3.805235613
475	3.803034147
476	3.799733305
477	3.796391169
478	3.794406144
479	3.792374372
480	3.788166882
481	3.785007335
482	3.782078879
483	3.780372272
484	3.779295063
485	3.775781707
486	3.772284072
487	3.770146027
488	3.767735888
489	3.764185451
490	3.763512739
491	3.762232233
492	3.760090811
493	3.757608356
494	3.755289426
495	3.754872261
496	3.752878213
497	3.750941372
498	3.749283422
499	3.747719191
500	3.744558615
501	3.742894046
502	3.740056226
503	3.738816592
504	3.736739088
505	3.734519728
506	3.731387945
507	3.727894891
508	3.72719148
509	3.726940809
510	3.725932619
511	3.724789527
512	3.723878406
513	3.723427985
514	3.720373242
515	3.720130574
516	3.716764579
517	3.716273469
518	3.714856373
519	3.714064321
520	3.713769304
521	3.712168437
522	3.708175271
523	3.707655566
524	3.70650922
525	3.704376415
526	3.701746399
527	3.698574971
528	3.695232891
529	3.694301522
530	3.69392334
531	3.693108846
532	3.690999437
533	3.688945462
534	3.684659698
535	3.682973585
536	3.681436559
537	3.679936258
538	3.678895589
539	3.676529873
540	3.675409292
541	3.672097804
542	3.67006607
543	3.665817706
544	3.663899508
545	3.660299243
546	3.658248846
547	3.656188461
548	3.655505418
549	3.653790493
550	3.652168116
551	3.649699143
552	3.648777617
553	3.648487515
554	3.644644028
555	3.641408104
556	3.638286021
557	3.636613859
558	3.634133141
559	3.630605646
560	3.62910059
561	3.626422167
562	3.624777883
563	3.622210429
564	3.619102717
565	3.615968785
566	3.615527579
567	3.612504403
568	3.611066698
569	3.609101125
570	3.605674698
571	3.605026808
572	3.603440749
573	3.601868154
574	3.600535225
575	3.598599213
576	3.596309688
577	3.594596644
578	3.592955539
579	3.59045369
580	3.586368475
581	3.58492793
582	3.581946148
583	3.579204837
584	3.576935065
585	3.576511902
586	3.574440138
587	3.570149993
588	3.568479016
589	3.566406978
590	3.564918285
591	3.561432042
592	3.561004902
593	3.557658579
594	3.5559009
595	3.554352518
596	3.551139435
597	3.549711284
598	3.548309796
599	3.545574131
600	3.542860652
601	3.540586017
602	3.539389489
603	3.538996757
604	3.537216776
605	3.535372843
606	3.532572762
607	3.530646215
608	3.527838164
609	3.525826063
610	3.525463475
611	3.523494836
612	3.522694285
613	3.5213918
614	3.517816448
615	3.515404645
616	3.512627912
617	3.509762316
618	3.509470571
619	3.506440289
620	3.505446364
621	3.502791466
622	3.500425477
623	3.500318469
624	3.498727523
625	3.49648586
626	3.49594939
627	3.494836931
628	3.492625615
629	3.489216847
630	3.488872534
631	3.488572137
632	3.487054055
633	3.485497246
634	3.481632641
635	3.479165158
636	3.477937011
637	3.47642151
638	3.475600551
639	3.475203645
640	3.473848574
641	3.471562395
642	3.470785453
643	3.466836973
644	3.465762984
645	3.463919958
646	3.463605859
647	3.46193455
648	3.460012188
649	3.459704208
650	3.456733515
651	3.454607802
652	3.451205193
653	3.449688816
654	3.447945422
655	3.446729867
656	3.44560591
657	3.443047987
658	3.442881759
659	3.441304108
660	3.438455528
661	3.435526337
662	3.43495478
663	3.432078178
664	3.430075958
665	3.42764321
666	3.425857663
667	3.424389756
668	3.421213707
669	3.419907221
670	3.418956694
671	3.417504839
672	3.41544306
673	3.414081172
674	3.413894294
675	3.413261689
676	3.412095129
677	3.408850884
678	3.406551164
679	3.404383735
680	3.402921884
681	3.400322287
682	3.399978338
683	3.399500997
684	3.399134029
685	3.395597771
686	3.393621489
687	3.393098159
688	3.391056417
689	3.390298832
690	3.38640793
691	3.383696117
692	3.382600767
693	3.380625356
694	3.379561153
695	3.379393614
696	3.377006694
697	3.375737154
698	3.374964832
699	3.37255076
700	3.370687202
701	3.370488908
702	3.36876077
703	3.367934775
704	3.36450556
705	3.361286008
706	3.360247384
707	3.358811853
708	3.356823332
709	3.353628356
710	3.351363777
711	3.349400935
712	3.345704291
713	3.343843441
714	3.342807985
715	3.340134061
716	3.33994877
717	3.339017015
718	3.338907196
719	3.337494342
720	3.335473315
721	3.334647665
722	3.333737883
723	3.333495995
724	3.330109753
725	3.327354495
726	3.325833467
727	3.325339769
728	3.324561432
729	3.324409625
730	3.322343534
731	3.31972266
732	3.319166038
733	3.319043337
734	3.316877351
735	3.314140893
736	3.311546172
737	3.309126332
738	3.308970697
739	3.306432428
740	3.30495517
741	3.303947651
742	3.303704072
743	3.301590766
744	3.299303537
745	3.298123677
746	3.295724086
747	3.294771903
748	3.292289601
749	3.289849927
750	3.288179593
751	3.284866356
752	3.283130708
753	3.280906254
754	3.280749731
755	3.279597157
756	3.279386603
757	3.278143816
758	3.275941462
759	3.275681921
760	3.27430855
761	3.271221038
762	3.267756979
763	3.26565378
764	3.262725366
765	3.261455944
766	3.259803298
767	3.25730816
768	3.255047837
769	3.253512019
770	3.252583149
771	3.250743919
772	3.249303364
773	3.248562434
774	3.245129343
775	3.24320607
776	3.242325717
777	3.242207678
778	3.239923261
779	3.239789542
780	3.238255518
781	3.236935676
782	3.236205599
783	3.235319981
784	3.232529958
785	3.230478658
786	3.227387101
787	3.225639116
788	3.222899975
789	3.218790625
790	3.218727615
791	3.216826864
792	3.216440507
793	3.213348035
794	3.211174216
795	3.210984627
796	3.21018929
797	3.210055366
798	3.209127036
799	3.206924459
800	3.204782154
801	3.202508675
802	3.200579065
803	3.199758291
804	3.197497895
805	3.195990831
806	3.194640278
807	3.193968813
808	3.192398114
809	3.190216607
810	3.188987683
811	3.187591646
812	3.186992091
813	3.185144438
814	3.184604445
815	3.183516732
816	3.181935662
817	3.180762791
818	3.178119796
819	3.175683665
820	3.175187581
821	3.173497224
822	3.17335397
823	3.172591933
824	3.170303197
825	3.169745761
826	3.167302201
827	3.167145792
828	3.165709017
829	3.164365346
830	3.161475831
831	3.161423904
832	3.159052012
833	3.157002751
834	3.155509643
835	3.154149805
836	3.153301247
837	3.152382015
838	3.151716872
839	3.150675468
840	3.148388184
841	3.147370862
842	3.145297949
843	3.141964883
844	3.141143187
845	3.139124243
846	3.137116544
847	3.136394955
848	3.135791158
849	3.132180779
850	3.12970771
851	3.12758535
852	3.126867605
853	3.126173999
854	3.124017325
855	3.120898
856	3.119058246
857	3.117469645
858	3.115732282
859	3.11529758
860	3.113323319
861	3.112276388
862	3.111344396
863	3.109129512
864	3.107689145
865	3.107133049
866	3.105923153
867	3.105290377
868	3.103731603
869	3.100961669
870	3.098058807
871	3.095835964
872	3.09574701
873	3.094211264
874	3.093386048
875	3.091832367
876	3.090771657
877	3.088393628
878	3.088351092
879	3.085403183
880	3.083606221
881	3.081692651
882	3.07847968
883	3.075962243
884	3.073795117
885	3.070590967
886	3.06894112
887	3.067587855
888	3.065570191
889	3.064058648
890	3.062813197
891	3.062231422
892	3.061811374
893	3.06048255
894	3.058036435
895	3.057014757
896	3.056448274
897	3.054840118
898	3.05366384
899	3.052584104
900	3.051704862
901	3.049209456
902	3.047222255
903	3.046343407
904	3.043397347
905	3.041381782
906	3.039021921
907	3.03776759
908	3.037219506
909	3.036626176
910	3.035161878
911	3.034717979
912	3.032420044
913	3.03168288
914	3.031507704
915	3.030509843
916	3.029225359
917	3.027778024
918	3.025685569
919	3.025362881
920	3.023080121
921	3.021510775
922	3.019539912
923	3.016891059
924	3.015270485
925	3.014185698
926	3.011649152
927	3.009348491
928	3.009039479
929	3.007674802
930	3.005622307
931	3.003689001
932	3.002692005
933	3.001507562
934	2.999324065
935	2.99851591
936	2.997909775
937	2.997859051
938	2.996533746
939	2.995111139
940	2.993380956
941	2.991926886
942	2.990764204
943	2.989843503
944	2.988279459
945	2.988078176
946	2.98571638
947	2.985519216
948	2.984428194
949	2.983381803
950	2.982967439
951	2.981548124
952	2.97957349
953	2.979331528
954	2.979005389
955	2.978515992
956	2.977482649
957	2.975282392
958	2.974342417
959	2.973444488
960	2.971826712
961	2.97116193
962	2.968608718
963	2.967398751
964	2.966560422
965	2.965738448
966	2.963230382
967	2.963005673
968	2.96281646
969	2.960879194
970	2.960186916
971	2.957511587
972	2.953779714
973	2.952477228
974	2.951277017
975	2.94983032
976	2.948455462
977	2.947290458
978	2.945456034
979	2.945164578
980	2.944024019
981	2.941663812
982	2.939468019
983	2.939336724
984	2.938570709
985	2.936998916
986	2.936183711
987	2.935847182
988	2.934875742
989	2.934079269
990	2.930766515
991	2.928867358
992	2.926677451
993	2.925511678
994	2.924212778
995	2.922828345
996	2.921127022
997	2.918897355
998	2.917032486
999	2.916207986
